JobTitle,BasePay,OvertimePay,OtherPay,Year,TotalPay,TotalPayBenefits,Agency
Transit Operator,30174.95,1224.61,816.42,2013,32215.98,49273.05,San Francisco
Library Page,32266.56,0.0,530.07,2013,32796.63,49271.2,San Francisco
Custodian,30025.74,1011.85,1599.19,2013,32636.78,49262.21,San Francisco
EMT/Paramedic/Firefighter,32268.0,3705.8,80.88,2013,36054.68,49256.76,San Francisco
Public Svc Aide-Public Works,28841.5,0.0,0.0,2013,28841.5,49208.16,San Francisco
Library Page,31994.57,0.0,805.35,2013,32799.92,49205.58,San Francisco
Registered Nurse,35346.79,0.0,2076.19,2013,37422.98,49187.68,San Francisco
Apprentice Gardener,32365.2,72.61,1758.09,2013,34195.9,49171.86,San Francisco
Senior Clerk Typist,34381.44,0.0,370.69,2013,34752.13,49138.59,San Francisco
Special Nurse,44083.3,0.0,721.56,2013,44804.86,49132.16,San Francisco
Public Svc Aide-Public Works,28775.84,0.0,0.0,2013,28775.84,49095.22,San Francisco
Account Clerk,35576.19,0.0,0.0,2013,35576.19,49078.44,San Francisco
Special Nurse,41108.16,0.0,1085.75,2013,42193.91,49075.65,San Francisco
Senior Health Educator,32787.01,0.0,5664.41,2013,38451.42,49061.55,San Francisco
Special Nurse,39401.76,0.0,2776.69,2013,42178.45,49044.73,San Francisco
Food Service Worker,22135.86,14568.1,34.75,2013,36738.71,49031.96,San Francisco
Transit Planner 2,34814.5,0.0,0.0,2013,34814.5,49020.95,San Francisco
"Counselor, Juvenile Hall SFERS",33795.67,2730.97,847.73,2013,37374.37,49017.85,San Francisco
Health Care Billing Clerk 2,31109.1,0.0,6046.35,2013,37155.45,49017.05,San Francisco
Transit Operator,33473.9,11747.53,3275.75,2013,48497.18,48982.13,San Francisco
Transit Operator,31458.86,2513.45,214.76,2013,34187.07,48966.84,San Francisco
Junior Management Assistant,33571.95,0.0,0.0,2013,33571.95,48942.23,San Francisco
Transit Operator,29071.91,5209.51,1281.09,2013,35562.51,48933.88,San Francisco
Automotive Mechanic,17538.01,2048.39,21903.23,2013,41489.63,48919.89,San Francisco
Account Clerk,33174.96,0.0,0.0,2013,33174.96,48910.7,San Francisco
Transit Operator,31846.54,66.88,976.62,2013,32890.04,48900.05,San Francisco
Communications Dispatcher 1,33112.57,2507.28,1385.85,2013,37005.7,48899.29,San Francisco
Park Patrol Officer,32241.06,2046.2,1847.85,2013,36135.11,48887.99,San Francisco
Librarian 1,35410.38,0.0,383.96,2013,35794.34,48877.84,San Francisco
Library Page,32107.88,0.0,484.53,2013,32592.41,48874.62,San Francisco
Transit Operator,29962.57,1470.84,547.22,2013,31980.63,48856.86,San Francisco
Psychiatric Social Worker,36189.45,0.0,76.84,2013,36266.29,48844.72,San Francisco
Psychiatric Social Worker,34261.81,0.0,2976.2,2013,37238.01,48809.3,San Francisco
Housing Inspector,35469.0,0.0,0.0,2013,35469.0,48796.81,San Francisco
Senior Administrative Analyst,48785.32,0.0,0.0,2013,48785.32,48785.32,San Francisco
Clerk Typist,33887.9,0.0,0.0,2013,33887.9,48782.54,San Francisco
Librarian 1,35306.74,0.0,564.79,2013,35871.53,48780.23,San Francisco
StdntDsgn Train2/Arch/Eng/Plng,42099.97,0.0,0.0,2013,42099.97,48772.19,San Francisco
Transit Operator,30615.71,1963.29,622.51,2013,33201.51,48765.93,San Francisco
Eligibility Worker,32867.32,606.0,1020.0,2013,34493.32,48759.11,San Francisco
Health Care Analyst,34393.45,0.0,0.0,2013,34393.45,48754.81,San Francisco
Senior Clerk,31487.41,0.0,0.0,2013,31487.41,48746.03,San Francisco
Communications Dispatcher 1,31402.07,2364.45,1463.61,2013,35230.13,48744.06,San Francisco
Special Nurse,41756.99,0.0,6497.95,2013,48254.94,48737.51,San Francisco
Eligibility Worker,33087.6,367.2,1532.6,2013,34987.4,48734.77,San Francisco
Library Page,32051.33,0.0,389.67,2013,32441.0,48734.61,San Francisco
Police Officer,35878.5,0.0,0.0,2013,35878.5,48715.99,San Francisco
Clerk Typist,39197.51,0.0,463.96,2013,39661.47,48708.41,San Francisco
Automotive Machinist,34912.8,0.0,0.0,2013,34912.8,48697.16,San Francisco
Photographer,32257.5,238.27,5.87,2013,32501.64,48688.63,San Francisco
Water QualityTech I/II,35378.68,447.45,0.0,2013,35826.13,48683.87,San Francisco
Special Nurse,44171.84,2885.34,1624.71,2013,48681.89,48681.89,San Francisco
Rehabilitation Counselor,34594.06,0.0,0.0,2013,34594.06,48676.1,San Francisco
Custodian,32939.22,0.0,829.4,2013,33768.62,48668.42,San Francisco
"Counselor, Juvenile Hall SFERS",32631.1,2752.84,1561.38,2013,36945.32,48653.89,San Francisco
IS Business Analyst-Senior,39840.0,0.0,0.0,2013,39840.0,48637.19,San Francisco
Custodian,33240.81,0.0,581.69,2013,33822.5,48625.66,San Francisco
Manager III,48577.32,0.0,0.0,2013,48577.32,48577.32,San Francisco
Deputy Court Clerk I,33619.76,0.0,819.92,2013,34439.68,48553.56,San Francisco
Library Technical Assistant 1,33467.82,0.0,1260.0,2013,34727.82,48549.84,San Francisco
Transit Operator,27302.43,4902.06,665.85,2013,32870.34,48548.76,San Francisco
Museum Guard,33824.26,2929.61,175.88,2013,36929.75,48517.0,San Francisco
Custodian,31268.8,2404.42,426.17,2013,34099.39,48506.75,San Francisco
Manager IV,35155.31,0.0,0.0,2013,35155.31,48497.55,San Francisco
Clerk,31216.0,973.09,1299.66,2013,33488.75,48491.68,San Francisco
Transit Operator,27105.81,7111.88,905.87,2013,35123.56,48489.91,San Francisco
Transit Planner III,47290.3,0.0,0.0,2013,47290.3,48470.52,San Francisco
Junior Administrative Analyst,30492.01,0.0,5272.39,2013,35764.4,48464.54,San Francisco
Senior Clerk,31755.84,0.0,200.0,2013,31955.84,48461.51,San Francisco
EMT/Paramedic/Firefighter,32268.0,1652.86,1344.51,2013,35265.37,48459.56,San Francisco
Community Development Asst,32257.5,0.0,0.0,2013,32257.5,48457.15,San Francisco
"Counselor, Juvenile Hall",29771.93,4937.09,2043.99,2013,36753.01,48454.64,San Francisco
Secretary 2,27975.62,0.0,9411.08,2013,37386.7,48441.52,San Francisco
Street Inspector,32613.53,3458.4,205.35,2013,36277.28,48376.3,San Francisco
"Counselor, Juvenile Hall SFERS",32015.24,3579.44,1515.61,2013,37110.29,48372.2,San Francisco
Library Page,31302.95,0.0,963.43,2013,32266.38,48341.73,San Francisco
Food Service Worker,31062.48,544.9,856.56,2013,32463.94,48335.87,San Francisco
IS Programmer Analyst-Senior,35012.25,0.0,0.0,2013,35012.25,48328.18,San Francisco
Transit Operator,25401.95,1698.47,8837.75,2013,35938.17,48320.1,San Francisco
Special Nurse,41527.2,3081.98,3179.97,2013,47789.15,48267.04,San Francisco
Special Nurse,41319.79,463.3,1636.96,2013,43420.05,48257.12,San Francisco
Health Care Billing Clerk 2,34057.75,0.0,0.0,2013,34057.75,48245.8,San Francisco
Real Property Appraiser,33464.51,0.0,700.0,2013,34164.51,48217.84,San Francisco
Accountant IV,47702.76,0.0,0.0,2013,47702.76,48179.81,San Francisco
Principal Recreation Sprv,46266.5,0.0,1431.15,2013,47697.65,48174.59,San Francisco
Porter,27514.27,1540.5,7158.26,2013,36213.03,48171.36,San Francisco
StdntDsgn Train2/Arch/Eng/Plng,42758.63,0.0,0.0,2013,42758.63,48168.83,San Francisco
Transit Operator,27533.31,6162.54,976.48,2013,34672.33,48161.0,San Francisco
Licensed Vocational Nurse,27260.0,817.8,9264.11,2013,37341.91,48129.22,San Francisco
EMT/Paramedic/Firefighter,32268.0,658.62,1897.84,2013,34824.46,48117.42,San Francisco
Patient Care Assistant,34512.82,4315.33,3546.54,2013,42374.69,48114.6,San Francisco
Painter,34705.75,0.0,484.0,2013,35189.75,48088.58,San Francisco
Junior Clerk,31512.92,0.0,0.0,2013,31512.92,48076.56,San Francisco
Registered Nurse,19856.0,791.14,20977.71,2013,41624.85,48067.83,San Francisco
Special Nurse,40282.2,0.0,1474.1,2013,41756.3,48048.12,San Francisco
Truck Driver,34593.84,0.0,923.74,2013,35517.58,48045.64,San Francisco
PS Aide to Prof,38872.22,223.35,17.44,2013,39113.01,47992.01,San Francisco
Glazier Supervisor 1,34009.17,0.0,3391.77,2013,37400.94,47981.52,San Francisco
Sr. Community Devl Spc 1,34164.0,0.0,0.0,2013,34164.0,47925.8,San Francisco
Court Reporter,32938.6,0.0,3346.33,2013,36284.93,47895.48,San Francisco
Registered Nurse,34097.55,2238.52,755.81,2013,37091.88,47882.07,San Francisco
Parking Control Officer,32333.11,89.01,1136.77,2013,33558.89,47860.91,San Francisco
"Claims Investigator, CA",33780.24,0.0,2236.28,2013,36016.52,47851.67,San Francisco
Animal Care Attendant,39300.78,3479.8,193.97,2013,42974.55,47843.03,San Francisco
Medical Social Worker,30231.0,0.0,7470.42,2013,37701.42,47832.14,San Francisco
Special Nurse,39614.65,1441.39,6294.92,2013,47350.96,47824.49,San Francisco
Cement Mason,33762.5,497.51,0.0,2013,34260.01,47800.49,San Francisco
Transit Operator,27067.22,4423.34,754.15,2013,32244.71,47790.9,San Francisco
Water Operations Analyst,47305.5,0.0,0.0,2013,47305.5,47778.56,San Francisco
"Counselor, Juvenile Hall SFERS",31820.73,1716.93,853.31,2013,34390.97,47762.7,San Francisco
Transit Operator,28632.53,1982.97,726.49,2013,31341.99,47738.3,San Francisco
Customer Service Agent,35878.94,763.07,1292.81,2013,37934.82,47733.71,San Francisco
Senior Clerk,32974.92,0.0,0.0,2013,32974.92,47731.26,San Francisco
Junior Management Assistant,36820.0,0.0,0.0,2013,36820.0,47728.52,San Francisco
Home Health Aide,27180.0,7051.99,646.21,2013,34878.2,47725.9,San Francisco
Library Page,30928.84,0.0,925.61,2013,31854.45,47689.64,San Francisco
Library Page,31325.56,0.0,421.71,2013,31747.27,47688.52,San Francisco
Transit Operator,33166.07,421.72,251.34,2013,33839.13,47682.17,San Francisco
Transit Fare Inspector,33619.2,23.18,0.0,2013,33642.38,47674.1,San Francisco
Special Nurse,39541.31,1836.74,260.25,2013,41638.3,47667.48,San Francisco
Transit Fare Inspector,30371.63,2627.12,51.0,2013,33049.75,47654.57,San Francisco
Library Page,31042.22,0.0,705.97,2013,31748.19,47624.28,San Francisco
Clerk,30533.01,0.0,0.0,2013,30533.01,47607.65,San Francisco
Special Nurse,33959.2,0.0,6928.54,2013,40887.74,47601.15,San Francisco
Public Svc Aide-Public Works,27654.5,0.0,216.02,2013,27870.52,47596.78,San Francisco
Special Nurse,46645.33,0.0,458.0,2013,47103.33,47574.34,San Francisco
Payroll Clerk,33696.0,0.0,325.5,2013,34021.5,47569.13,San Francisco
Nurses Staffing Assistant,37187.79,1980.86,25.0,2013,39193.65,47556.72,San Francisco
Firefighter,30269.64,3434.26,3251.64,2013,36955.54,47552.64,San Francisco
Health Worker 3,32481.6,0.0,1571.6,2013,34053.2,47532.7,San Francisco
Custodial Assistant Supervisor,30022.91,254.1,1246.26,2013,31523.27,47514.88,San Francisco
Librarian 1,32241.44,0.0,279.23,2013,32520.67,47475.2,San Francisco
Institution Utility Worker,32540.9,1487.79,0.0,2013,34028.69,47466.53,San Francisco
Recreation Leader,32703.75,0.0,227.25,2013,32931.0,47462.49,San Francisco
PS Aide Health Services,29562.54,25.82,0.0,2013,29588.36,47439.83,San Francisco
Health Worker 3,30300.0,0.0,5229.48,2013,35529.48,47436.81,San Francisco
Special Nurse,34974.1,0.0,5872.8,2013,40846.9,47413.87,San Francisco
Library Page,31178.25,0.0,466.83,2013,31645.08,47413.45,San Francisco
IS Programmer Analyst,38099.3,0.0,0.0,2013,38099.3,47411.6,San Francisco
Senior Telephone Operator,28829.23,4595.19,1173.47,2013,34597.89,47371.95,San Francisco
Police Officer 3,46888.73,0.0,0.0,2013,46888.73,47357.6,San Francisco
Sr District Atty Investigator,,0.0,47356.93,2013,47356.93,47356.93,San Francisco
"Coord, Human Rights Comm",34461.03,0.0,1230.75,2013,35691.78,47350.35,San Francisco
Sr Payroll & Personnel Clerk,34212.53,0.0,0.0,2013,34212.53,47331.91,San Francisco
Special Nurse,33217.31,0.0,5944.97,2013,39162.28,47322.36,San Francisco
Transit Operator,27006.05,4250.72,590.31,2013,31847.08,47317.35,San Francisco
Special Nurse,45421.97,0.0,1405.37,2013,46827.34,47295.61,San Francisco
Physician Specialist,47004.85,0.0,0.0,2013,47004.85,47282.35,San Francisco
Licensed Vocational Nurse,33195.9,0.0,1711.72,2013,34907.62,47227.89,San Francisco
Senior Administrative Analyst,46727.91,0.0,0.0,2013,46727.91,47195.2,San Francisco
Firefighter,34249.73,0.0,1449.3,2013,35699.03,47187.31,San Francisco
Medical Evaluations Assistant,32562.65,64.01,0.0,2013,32626.66,47180.17,San Francisco
Clinical Psychologist,35074.62,0.0,955.22,2013,36029.84,47137.19,San Francisco
Library Page,30123.13,0.0,516.84,2013,30639.97,47119.99,San Francisco
Police Officer 3,46639.45,0.0,0.0,2013,46639.45,47105.84,San Francisco
Manager III,47066.54,0.0,0.0,2013,47066.54,47066.54,San Francisco
"StdntDsgnTrain1, Arch/Eng/Plng",32889.8,0.0,0.0,2013,32889.8,47064.38,San Francisco
Special Nurse,34319.25,0.0,6389.36,2013,40708.61,47058.57,San Francisco
Public Svc Aide-Public Works,27625.88,0.0,0.0,2013,27625.88,47044.63,San Francisco
Transit Operator,27355.45,3478.1,553.79,2013,31387.34,47043.93,San Francisco
Library Page,30322.04,0.0,517.37,2013,30839.41,47035.81,San Francisco
Senior Stationary Engineer,30894.75,1831.95,2408.75,2013,35135.45,47024.35,San Francisco
Special Nurse,39944.48,0.0,7059.86,2013,47004.34,47004.34,San Francisco
Transit Operator,28136.11,4044.54,1291.1,2013,33471.75,46983.46,San Francisco
Health Worker 2,31342.25,624.22,1396.25,2013,33362.72,46982.75,San Francisco
Legal Process Clerk,30656.55,539.55,0.0,2013,31196.1,46976.32,San Francisco
Occupational Therapist,35574.37,0.0,0.0,2013,35574.37,46957.08,San Francisco
Transit Operator,28026.23,2109.31,731.09,2013,30866.63,46950.08,San Francisco
Housing Inspector,34117.81,0.0,0.0,2013,34117.81,46943.49,San Francisco
Elections Clerk,36202.62,874.53,1945.44,2013,39022.59,46932.22,San Francisco
Management Assistant,32715.64,0.0,0.0,2013,32715.64,46897.82,San Francisco
"Counselor, Juvenile Hall SFERS",30362.05,4765.41,1212.6,2013,36340.06,46880.12,San Francisco
Special Nurse,38119.11,637.09,2150.67,2013,40906.87,46875.47,San Francisco
Special Nurse,33001.54,1050.84,6149.18,2013,40201.56,46870.5,San Francisco
Food Service Worker,22813.14,10894.95,627.51,2013,34335.6,46849.62,San Francisco
EMT/Paramedic/Firefighter,31999.1,1564.57,189.1,2013,33752.77,46824.36,San Francisco
Special Nurse,39426.27,0.0,1751.54,2013,41177.81,46799.78,San Francisco
Library Assistant,31707.36,0.0,440.22,2013,32147.58,46794.68,San Francisco
Health Worker 2,31792.17,64.38,1160.0,2013,33016.55,46792.79,San Francisco
Accountant III,46323.79,0.0,0.0,2013,46323.79,46787.03,San Francisco
Transit Operator,30285.83,53.13,1161.72,2013,31500.68,46777.88,San Francisco
Special Nurse,32640.3,0.0,6066.57,2013,38706.87,46777.61,San Francisco
Emergency Services Coord II,33334.67,0.0,857.28,2013,34191.95,46764.82,San Francisco
Protective Services Worker,33168.0,0.0,40.0,2013,33208.0,46752.87,San Francisco
Library Page,30611.41,0.0,560.27,2013,31171.68,46750.88,San Francisco
Food Service Worker,23485.55,9703.57,1217.34,2013,34406.46,46744.97,San Francisco
Airport Communications Disp,24204.17,1358.7,12427.58,2013,37990.45,46719.96,San Francisco
Public Svc Aide-Public Works,28636.45,0.0,0.0,2013,28636.45,46708.97,San Francisco
Protective Services Worker,33168.01,0.0,0.0,2013,33168.01,46703.96,San Francisco
Protective Services Worker,33168.01,0.0,0.0,2013,33168.01,46703.96,San Francisco
Psychiatric Social Worker,33168.0,0.0,0.0,2013,33168.0,46703.94,San Francisco
Police Officer 3,46231.5,0.0,0.0,2013,46231.5,46693.81,San Francisco
Assessment Clerk,30367.0,0.0,1020.05,2013,31387.05,46688.75,San Francisco
Clerk,30772.15,0.0,378.52,2013,31150.67,46672.45,San Francisco
Management Assistant,38594.49,0.0,0.0,2013,38594.49,46644.99,San Francisco
Library Page,29936.2,0.0,445.54,2013,30381.74,46640.85,San Francisco
Library Page,30747.4,0.0,295.47,2013,31042.87,46624.42,San Francisco
Publ Svc Aide-Asst to Prof,36389.92,76.56,0.0,2013,36466.48,46622.49,San Francisco
Special Nurse,37171.83,0.0,3565.87,2013,40737.7,46610.15,San Francisco
Transit Operator,23821.74,6512.27,5082.63,2013,35416.64,46603.55,San Francisco
Home Health Aide,27180.0,5894.08,674.32,2013,33748.4,46603.23,San Francisco
Special Nurse,39728.85,0.0,230.79,2013,39959.64,46599.61,San Francisco
Registered Nurse,38024.58,0.0,1483.33,2013,39507.91,46582.83,San Francisco
Protective Services Worker,33168.01,0.0,0.0,2013,33168.01,46565.76,San Francisco
IS Programmer Analyst,36597.45,0.0,0.0,2013,36597.45,46564.71,San Francisco
Junior Administrative Analyst,31600.0,0.0,0.0,2013,31600.0,46559.61,San Francisco
PS Aide to Prof,31818.12,0.0,0.0,2013,31818.12,46550.82,San Francisco
"Counselor, Juvenile Hall",25403.73,9355.15,1410.4,2013,36169.28,46547.09,San Francisco
Communications Dispatcher 1,29088.0,1964.3,649.41,2013,31701.71,46540.38,San Francisco
Legislative Assistant,44408.09,0.0,0.0,2013,44408.09,46539.25,San Francisco
Special Nurse,38402.22,0.0,1545.82,2013,39948.04,46527.78,San Francisco
Planner 3,45395.71,0.0,0.0,2013,45395.71,46527.44,San Francisco
Principal Mgmt Analyst,23029.5,0.0,15391.8,2013,38421.3,46510.48,San Francisco
Transit Operator,33609.82,2588.76,1046.79,2013,37245.37,46509.58,San Francisco
Physician Assistant,44989.5,0.0,1052.48,2013,46041.98,46502.41,San Francisco
Transit Operator,27851.85,2002.84,680.72,2013,30535.41,46487.2,San Francisco
Dist Atty Investigator (SFERS),34994.5,586.5,2099.67,2013,37680.67,46453.37,San Francisco
Public Svc Aide-Public Works,28321.65,0.0,0.0,2013,28321.65,46447.91,San Francisco
EMT/Paramedic/Firefighter,32268.0,851.71,134.43,2013,33254.14,46428.19,San Francisco
Senior Benefits Analyst,36789.0,0.0,0.0,2013,36789.0,46410.61,San Francisco
Special Nurse,31445.15,1186.92,7046.44,2013,39678.51,46381.64,San Francisco
Library Page,30566.09,0.0,207.36,2013,30773.45,46360.46,San Francisco
Senior Clerk Typist,32614.55,0.0,0.0,2013,32614.55,46356.85,San Francisco
Transit Operator,21930.7,6534.81,7435.48,2013,35900.99,46347.98,San Francisco
Principal Clerk,31954.23,0.0,0.0,2013,31954.23,46323.57,San Francisco
Protective Services Worker,32891.61,0.0,0.0,2013,32891.61,46315.75,San Francisco
Manager III,45846.73,0.0,0.0,2013,45846.73,46305.18,San Francisco
Social Worker,31187.93,0.0,937.85,2013,32125.78,46283.27,San Francisco
Patient Care Assistant,24067.32,986.01,10385.43,2013,35438.76,46266.4,San Francisco
IS Program Analyst-Assistant,32172.89,0.0,0.0,2013,32172.89,46256.09,San Francisco
Health Worker 1,29451.47,0.0,1000.0,2013,30451.47,46248.02,San Francisco
PS Aide to Prof,31380.68,0.0,0.0,2013,31380.68,46245.8,San Francisco
Police Officer 3,46231.5,0.0,0.0,2013,46231.5,46231.5,San Francisco
Police Officer 3,46231.5,0.0,0.0,2013,46231.5,46231.5,San Francisco
Public Svc Aide-Public Works,27429.59,0.0,642.41,2013,28072.0,46230.67,San Francisco
Legislative Assistant,38544.45,0.0,0.0,2013,38544.45,46218.21,San Francisco
Senior Telephone Operator,30817.4,857.2,943.15,2013,32617.75,46213.19,San Francisco
Special Nurse,37898.1,1532.48,6316.35,2013,45746.93,46204.41,San Francisco
"PrDAInvest,SpecUnit (SFERS)",45742.01,0.0,0.0,2013,45742.01,46199.44,San Francisco
Police Officer 3,46186.2,0.0,0.0,2013,46186.2,46186.2,San Francisco
Transit Operator,26367.86,5231.83,1777.22,2013,33376.91,46180.68,San Francisco
Clerk,29621.07,0.0,0.0,2013,29621.07,46178.22,San Francisco
Asst Electronic Main Tech,32365.65,2739.69,0.0,2013,35105.34,46172.62,San Francisco
Mgr Museum Security Services,29796.0,0.0,0.0,2013,29796.0,46166.92,San Francisco
PS Aide to Prof,37336.72,0.0,0.0,2013,37336.72,46166.54,San Francisco
Sheriff's Lieutenant,31492.51,1590.68,2864.54,2013,35947.73,46152.72,San Francisco
Eligibility Worker,32724.0,0.0,84.0,2013,32808.0,46147.23,San Francisco
Special Nurse,37579.06,0.0,2404.39,2013,39983.45,46144.41,San Francisco
Custodian,31741.9,0.0,2.04,2013,31743.94,46128.82,San Francisco
Customer Service Agent,35585.53,332.3,999.35,2013,36917.18,46127.53,San Francisco
Library Assistant,31913.49,0.0,478.95,2013,32392.44,46111.54,San Francisco
Librarian 1,32816.64,0.0,972.25,2013,33788.89,46110.15,San Francisco
Clerk,28926.01,934.08,0.0,2013,29860.09,46093.86,San Francisco
Custodian,32006.19,1300.28,353.93,2013,33660.4,46069.59,San Francisco
Employment & Training Spec 3,32279.01,0.0,0.0,2013,32279.01,46067.46,San Francisco
Transit Car Cleaner,31696.0,721.65,781.08,2013,33198.73,46031.76,San Francisco
Library Page,30269.83,0.0,402.29,2013,30672.12,46009.12,San Francisco
Special Nurse,44041.75,0.0,1458.72,2013,45500.47,45955.5,San Francisco
Chief Clerk,45500.4,0.0,0.0,2013,45500.4,45955.42,San Francisco
Public Svc Aide-Public Works,27918.28,0.0,0.0,2013,27918.28,45948.06,San Francisco
Public Service Trainee,26568.32,2315.54,286.82,2013,29170.68,45889.61,San Francisco
Program Specialist,33572.45,0.0,261.61,2013,33834.06,45871.76,San Francisco
Eligibility Worker,31512.0,0.0,570.0,2013,32082.0,45824.85,San Francisco
Employment & Training Spec 3,38049.28,0.0,0.0,2013,38049.28,45823.84,San Francisco
Curator 1,31448.1,0.0,627.6,2013,32075.7,45817.49,San Francisco
Health Worker 2,26238.57,6136.57,200.0,2013,32575.14,45786.21,San Francisco
Victim/Witness Investigator 1,31171.01,0.0,280.0,2013,31451.01,45759.21,San Francisco
Custodian,31172.27,0.0,567.6,2013,31739.87,45757.99,San Francisco
Special Nurse,36159.1,0.0,3213.79,2013,39372.89,45743.23,San Francisco
Epidemiologist 2,39097.0,0.0,0.0,2013,39097.0,45736.05,San Francisco
Patient Care Assistant,28464.0,1052.7,2672.4,2013,32189.1,45734.47,San Francisco
Prnpl Admin Analyst II,45277.11,0.0,0.0,2013,45277.11,45729.89,San Francisco
Park Patrol Officer,23948.8,8312.42,579.6,2013,32840.82,45714.85,San Francisco
Special Nurse,37612.51,0.0,1888.16,2013,39500.67,45708.62,San Francisco
Account Clerk,30363.02,0.0,2359.04,2013,32722.06,45707.85,San Francisco
Assistant Storekeeper,25547.81,17270.29,1890.91,2013,44709.01,45705.9,San Francisco
IS Administrator 2,36740.5,0.0,0.0,2013,36740.5,45691.06,San Francisco
Food Service Worker,16523.29,18920.25,292.58,2013,35736.12,45684.05,San Francisco
Eligibility Worker,31512.0,136.35,450.0,2013,32098.35,45668.89,San Francisco
Librarian 3,32491.72,0.0,1697.2,2013,34188.92,45663.63,San Francisco
Contract Compliance Officer 2,44791.34,0.0,0.0,2013,44791.34,45658.53,San Francisco
IS Prg Analyst-Principal,33354.5,0.0,0.0,2013,33354.5,45655.07,San Francisco
Custodian,29141.88,1662.8,1914.5,2013,32719.18,45651.31,San Francisco
Librarian 1,37365.1,0.0,337.12,2013,37702.22,45636.66,San Francisco
Housing Inspector,33104.4,126.68,0.0,2013,33231.08,45624.39,San Francisco
Library Assistant,31157.19,0.0,1009.06,2013,32166.25,45618.91,San Francisco
Library Page,29625.04,0.0,781.35,2013,30406.39,45584.12,San Francisco
Pr Administrative Analyst,45081.39,0.0,0.0,2013,45081.39,45532.21,San Francisco
Health Worker 3,31454.82,610.8,355.85,2013,32421.47,45520.95,San Francisco
Glazier,42180.67,0.0,3136.61,2013,45317.28,45518.37,San Francisco
Public Svc Aide-Public Works,27700.84,0.0,0.0,2013,27700.84,45505.63,San Francisco
Cable Splicer,45364.1,0.0,0.0,2013,45364.1,45497.15,San Francisco
Transit Operator,28911.59,2557.69,135.25,2013,31604.53,45493.23,San Francisco
Clerk,28926.0,316.38,0.0,2013,29242.38,45469.99,San Francisco
Medical Evaluations Assistant,33492.73,0.0,205.59,2013,33698.32,45468.09,San Francisco
Police Officer 3,45007.78,0.0,0.0,2013,45007.78,45457.83,San Francisco
Health Worker 1,29763.91,0.0,0.0,2013,29763.91,45454.31,San Francisco
Library Assistant,28047.61,0.0,7249.12,2013,35296.73,45450.28,San Francisco
Licensed Vocational Nurse,28236.62,6931.35,1270.19,2013,36438.16,45440.03,San Francisco
Clerk,28926.0,271.18,0.0,2013,29197.18,45424.32,San Francisco
Custodian,28170.41,1220.36,1514.52,2013,30905.29,45416.48,San Francisco
"Counselor, Juvenile Hall",30638.28,2451.89,267.1,2013,33357.27,45412.2,San Francisco
Microbiologist,32418.5,0.0,0.0,2013,32418.5,45412.0,San Francisco
Clerk,32401.14,0.0,0.0,2013,32401.14,45410.39,San Francisco
Special Nurse,30332.4,148.36,8347.82,2013,38828.58,45409.72,San Francisco
"Sctry, Human Svcs. Commission",44954.4,0.0,0.0,2013,44954.4,45403.97,San Francisco
Transit Operator,27059.41,2574.76,452.7,2013,30086.87,45380.1,San Francisco
Librarian 1,34236.23,0.0,566.85,2013,34803.08,45373.06,San Francisco
Custodian,28614.92,78.66,968.69,2013,29662.27,45358.07,San Francisco
"StdntDsgnTrain3, Arch/Eng/Plng",30962.49,321.96,0.0,2013,31284.45,45326.9,San Francisco
Transit Operator,27173.34,1505.56,1018.91,2013,29697.81,45322.67,San Francisco
Park Patrol Officer,25348.5,6371.41,1103.69,2013,32823.6,45311.13,San Francisco
Truck Driver,29949.43,4175.57,420.0,2013,34545.0,45306.23,San Francisco
Principal Clerk,41162.54,1597.72,0.0,2013,42760.26,45302.2,San Francisco
Public Service Aide-Admin,36639.01,0.0,0.0,2013,36639.01,45290.48,San Francisco
Legal Assistant,33294.88,0.0,0.0,2013,33294.88,45281.23,San Francisco
Library Assistant,31080.61,0.0,809.7,2013,31890.31,45272.51,San Francisco
Junior Engineer,31992.0,0.0,0.0,2013,31992.0,45268.55,San Francisco
Public Service Trainee,30171.56,0.0,0.0,2013,30171.56,45267.84,San Francisco
Public Service Trainee,30171.56,0.0,0.0,2013,30171.56,45267.84,San Francisco
Public Service Trainee,30171.55,0.0,0.0,2013,30171.55,45267.83,San Francisco
Police Officer 3,45234.41,0.0,0.0,2013,45234.41,45234.41,San Francisco
Tile Setter,42402.18,1464.42,0.0,2013,43866.6,45210.15,San Francisco
Electrician,41739.0,3020.93,0.0,2013,44759.93,45207.54,San Francisco
Stationary Engineer,32142.0,2575.02,2572.29,2013,37289.31,45187.04,San Francisco
Transit Supervisor,30754.81,2582.08,1358.03,2013,34694.92,45181.31,San Francisco
Clerk,28926.01,0.0,0.0,2013,28926.01,45150.45,San Francisco
Clerk,28926.01,0.0,0.0,2013,28926.01,45150.45,San Francisco
Clerk,28926.0,0.0,0.0,2013,28926.0,45150.44,San Francisco
Library Page,28876.66,0.0,1313.02,2013,30189.68,45127.36,San Francisco
Special Nurse,38539.46,776.85,2090.78,2013,41407.09,45124.61,San Francisco
Nursing Assistant,31542.5,382.35,548.86,2013,32473.71,45107.43,San Francisco
Human Services Technician,31937.34,0.0,324.79,2013,32262.13,45095.71,San Francisco
Housing Inspector,32766.6,0.0,0.0,2013,32766.6,45090.16,San Francisco
